label,operations,runTimeMs,ops
0,200000,60000,3333.3333333333335
5000000,28052,60000,467.53333333333336
10000000,11911,60000,198.51666666666668
15000000,9940,60000,165.66666666666666
20000000,7348,60000,122.46666666666667
25000000,5763,60001,96.05
30000000,4586,60000,76.43333333333334
35000000,4179,60000,69.65
40000000,3417,60000,56.95
