label,operations,runTimeMs,ops
0,200000,60001,3333.3333333333335
5000000,28967,60000,482.78333333333336
10000000,7298,60000,121.63333333333334
15000000,10726,60000,178.76666666666668
20000000,8095,60000,134.91666666666666
25000000,5827,60000,97.11666666666666
30000000,4065,60000,67.75
35000000,4018,60000,66.96666666666667
40000000,3833,60000,63.88333333333333
